DATE,CLIENT_ID,CLIENT_SIZE,INDUSTRY,STATE,PRODUCT,NUM_LICENSE,PRICE_PER_LICENSE,CSat
1/7/14,6358990,20-99,IT,CA,A,4,980,8
1/7/14,7256240,100-499,IT,NY,D,9,760,7
1/7/14,9881322,500+,IT,CA,C,23,444,8
1/7/14,2959540,0-19,FINANCE,NJ,D,1,793.6,8
1/7/14,6758356,0-19,HEALTH CARE,GA,A,3,960,7
1/7/14,4225158,20-99,REAL ESTATE,CO,D,6,768,9
1/7/14,8469322,20-99,REAL ESTATE,NY,B,9,480,4
1/7/14,6497534,0-19,FINANCE,TX,D,4,800,7
1/7/14,7347477,20-99,IT,PA,D,9,768,5
1/7/14,6874996,0-19,IT,TX,D,3,800,7
1/8/14,4021415,20-99,IT,CO,A,7,960,6
1/8/14,6117576,20-99,IT,MA,A,7,950,
1/8/14,6886207,20-99,REAL ESTATE,CA,A,8,970,7
1/8/14,2599146,100-499,RETAIL,MD,A,13,920,8
1/8/14,4973751,0-19,FINANCE,NC,D,1,800,7
1/8/14,4653255,0-19,IT,NJ,B,4,500,4
1/8/14,3433368,20-99,FINANCE,IL,B,3,500,7
1/8/14,4466507,0-19,FINANCE,CA,A,4,998,6
1/8/14,6456468,100-499,IT,MN,B,14,460,6
1/8/14,6590150,0-19,IT,NJ,A,4,1000,5
1/9/14,2409899,100-499,IT,CA,A,5,950,7
1/9/14,5103297,100-499,IT,TX,A,9,910,6
1/9/14,2031618,0-19,IT,CA,A,1,970,2
1/9/14,2675512,20-99,IT,NJ,D,6,744,4
1/9/14,4530092,0-19,IT,NY,B,4,500,5
1/9/14,6529222,20-99,FINANCE,IL,A,5,992,10
1/9/14,9743712,0-19,RETAIL,PA,A,3,970,6
1/10/14,2332689,0-19,FINANCE,IL,A,4,998,
1/10/14,8305000,20-99,REAL ESTATE,CA,D,9,752,8
1/10/14,9414033,0-19,IT,MA,A,2,960,
1/10/14,3766702,20-99,RETAIL,IL,A,6,940,5
1/10/14,1930639,0-19,RETAIL,NJ,D,2,776,3
1/10/14,8338991,100-499,FINANCE,NY,B,6,494,8
1/10/14,2170968,0-19,RETAIL,IN,A,3,980,
1/10/14,5341363,0-19,IT,TX,A,4,970,3
1/10/14,4096596,0-19,IT,CA,A,1,960,7
1/10/14,7103172,20-99,IT,NY,A,3,1000,5
1/10/14,4094126,20-99,IT,GA,D,14,752,8
1/10/14,9602934,100-499,IT,MI,D,28,744,8
1/10/14,4338641,0-19,IT,NY,D,2,768,7
1/10/14,4516306,20-99,IT,CA,A,9,950,6
1/10/14,9776186,0-19,FINANCE,GA,B,1,496,3
1/10/14,6878238,0-19,IT,NY,B,1,495,8
1/13/14,2966464,0-19,IT,NY,A,1,970,7
1/13/14,5255710,0-19,IT,VA,B,3,485,2
1/13/14,1447727,0-19,IT,NC,A,3,960,6
1/13/14,9001627,20-99,FINANCE,NY,B,6,492,5
1/13/14,2881175,0-19,IT,CA,A,1,1000,4
1/13/14,6567122,20-99,RETAIL,MI,A,3,980,6
1/13/14,4030376,500+,FINANCE,MA,A,27,968,10
1/13/14,2782691,0-19,FINANCE,MA,B,4,499,8
1/13/14,6194132,100-499,REAL ESTATE,NC,C,18,558,7
1/13/14,2575416,500+,IT,CA,A,17,940,8
1/13/14,2506528,0-19,REAL ESTATE,MA,B,1,485,8
1/13/14,9174241,0-19,FINANCE,NC,B,4,498,6
1/13/14,3414164,500+,IT,MI,A,22,840,8
1/13/14,9743097,20-99,RETAIL,MN,B,5,455,6
1/13/14,9626102,0-19,IT,CA,A,4,960,2
1/13/14,7929660,0-19,IT,MI,A,4,970,5
1/13/14,1703262,20-99,IT,IL,D,8,752,
1/13/14,8328392,0-19,IT,CA,D,4,776,3
1/13/14,5950679,0-19,FINANCE,NY,D,3,800,7
1/13/14,2027283,0-19,IT,IN,A,1,960,7
1/13/14,8393649,0-19,FINANCE,FL,A,1,992,8
1/13/14,2216714,20-99,IT,CA,B,7,455,5
1/13/14,2731585,100-499,HEALTH CARE,GA,A,9,960,5
1/14/14,3060678,20-99,IT,NJ,B,9,485,7
1/14/14,7297326,20-99,IT,CO,A,8,930,8
1/14/14,8961651,0-19,REAL ESTATE,NY,A,3,980,2
1/14/14,4041851,20-99,HEALTH CARE,CA,A,8,940,8
1/14/14,2992896,0-19,HEALTH CARE,TX,A,2,970,7
1/14/14,7569187,100-499,REAL ESTATE,IN,B,9,465,7
1/14/14,4991245,0-19,RETAIL,IL,B,2,480,4
1/14/14,5722640,20-99,IT,IL,A,4,990,8
1/14/14,7033951,0-19,REAL ESTATE,NY,C,4,594,7
1/14/14,4366715,0-19,REAL ESTATE,TX,D,8,792,9
1/14/14,4186991,100-499,RETAIL,GA,D,7,728,8
1/14/14,1216632,0-19,FINANCE,NY,D,2,793.6,8
1/14/14,5389106,20-99,FINANCE,NC,A,6,982,9
1/15/14,9542485,0-19,IT,MI,D,2,768,5
1/15/14,5124157,0-19,REAL ESTATE,IL,D,6,768,6
1/15/14,5311380,0-19,FINANCE,PA,B,1,496,9
1/15/14,4861041,0-19,IT,NC,D,4,776,5
1/15/14,3970129,0-19,HEALTH CARE,NJ,D,3,776,5
1/15/14,9536819,20-99,HEALTH CARE,IL,D,5,768,8
1/15/14,9460966,100-499,IT,GA,A,5,960,5
1/15/14,6261029,0-19,IT,NY,D,1,792,4
1/15/14,7081710,0-19,FINANCE,CA,D,2,800,6
1/16/14,2614269,0-19,HEALTH CARE,IL,B,1,490,8
1/16/14,5825900,0-19,IT,MD,D,4,784,8
1/16/14,1342864,0-19,HEALTH CARE,TX,D,8,784,5
1/16/14,6091568,0-19,REAL ESTATE,IN,B,2,495,6
1/16/14,7645327,0-19,IT,IL,D,3,784,8
1/16/14,4473118,500+,IT,TX,B,15,445,7
1/16/14,4213309,20-99,IT,TX,D,9,760,6
1/16/14,1476263,20-99,RETAIL,MI,D,7,776,5
1/16/14,8056740,100-499,IT,NJ,C,18,552,9
1/16/14,3575274,100-499,IT,NY,A,13,930,5
1/16/14,6373712,0-19,IT,NY,A,2,990,8
1/16/14,4383207,100-499,IT,NJ,A,8,950,6
1/16/14,7515464,100-499,FINANCE,PA,A,10,988,
1/16/14,5124157,0-19,REAL ESTATE,IL,A,4,980,8
1/16/14,2845103,0-19,FINANCE,IN,B,2,497,7
1/16/14,7182323,0-19,IT,MD,A,2,970,8
1/16/14,5979485,20-99,FINANCE,TX,B,3,499,6
1/17/14,1697827,20-99,IT,NY,A,9,920,8
1/17/14,8784074,100-499,IT,TX,D,8,728,5
1/17/14,7349579,0-19,REAL ESTATE,NY,A,3,970,3
1/17/14,4403583,0-19,IT,NJ,D,1,768,6
1/17/14,8412567,500+,REAL ESTATE,TX,D,28,688,7
1/17/14,7796110,20-99,IT,CA,A,3,980,6
1/17/14,3462184,500+,HEALTH CARE,MD,A,29,890,7
1/17/14,4977756,20-99,RETAIL,NJ,A,5,920,5
1/21/14,2109566,0-19,IT,NY,D,1,768,6
1/21/14,6286299,100-499,FINANCE,NY,D,11,782.4,
1/21/14,5723633,500+,REAL ESTATE,PA,D,26,592,8
1/21/14,5521706,0-19,HEALTH CARE,GA,A,1,970,4
1/21/14,8676339,0-19,IT,VA,A,4,1000,2
1/21/14,9437105,100-499,IT,MA,A,14,870,5
1/21/14,9327573,0-19,HEALTH CARE,MD,A,1,990,3
1/21/14,1078402,500+,FINANCE,NY,D,12,784,
1/21/14,4169114,0-19,REAL ESTATE,VA,C,2,594,8
1/21/14,3190086,500+,IT,CA,D,22,720,8
1/21/14,8462823,100-499,RETAIL,CA,A,12,930,6
1/21/14,2367906,0-19,IT,NY,A,1,970,6
1/22/14,8443879,20-99,HEALTH CARE,IL,D,4,768,5
1/22/14,9656216,20-99,IT,CA,A,9,910,6
1/22/14,4557736,20-99,HEALTH CARE,CA,D,8,760,4
1/22/14,7153972,500+,HEALTH CARE,CA,A,13,860,7
1/22/14,3053886,20-99,FINANCE,IL,A,8,986,7
1/22/14,2453175,100-499,REAL ESTATE,IN,B,7,480,5
1/22/14,1588867,20-99,REAL ESTATE,FL,A,4,960,7
1/22/14,3774998,0-19,RETAIL,MI,A,4,980,7
1/22/14,1918842,20-99,FINANCE,PA,A,9,984,6
1/22/14,1643264,0-19,RETAIL,IL,A,1,990,8
1/22/14,2140098,0-19,IT,MA,A,1,980,8
1/22/14,7453354,20-99,IT,CA,B,6,485,6
1/22/14,6704811,0-19,FINANCE,IN,B,2,496,9
1/22/14,7985437,0-19,FINANCE,TX,B,4,500,8
1/22/14,8684867,20-99,IT,IN,B,8,465,5
1/22/14,4526475,100-499,IT,MD,A,11,890,
1/22/14,7569057,0-19,IT,MD,A,4,1000,7
1/22/14,5848428,20-99,FINANCE,CA,D,8,795.2,8
1/22/14,5736465,0-19,IT,MA,A,1,970,7
1/23/14,9797734,500+,IT,GA,A,15,940,6
1/23/14,8760478,500+,IT,NY,A,27,770,7
1/23/14,7375333,500+,RETAIL,CA,D,16,744,8
1/23/14,7029504,0-19,FINANCE,FL,A,2,994,8
1/23/14,8997409,0-19,HEALTH CARE,MI,A,2,970,5
1/23/14,9362303,0-19,HEALTH CARE,IN,D,1,784,7
1/23/14,8036293,0-19,IT,CA,D,8,784,4
1/23/14,8659437,20-99,IT,MD,D,5,736,8
1/23/14,4121932,100-499,IT,MA,A,5,960,8
1/23/14,2870562,100-499,RETAIL,FL,A,8,920,7
1/23/14,7796110,20-99,IT,CA,A,5,910,8
1/23/14,2330249,0-19,REAL ESTATE,NY,D,1,792,4
1/23/14,9127877,0-19,IT,IL,A,1,960,5
1/23/14,9846349,0-19,RETAIL,MA,B,1,485,7
1/23/14,9084948,500+,IT,TX,A,28,810,7
1/23/14,7114106,0-19,IT,IL,D,2,776,8
1/23/14,6982175,20-99,RETAIL,CO,A,3,960,8
1/24/14,4546164,0-19,FINANCE,GA,D,4,800,8
1/24/14,4631723,0-19,RETAIL,IL,B,3,485,5
1/24/14,1244304,20-99,IT,NY,A,6,970,5
1/24/14,8221790,20-99,IT,CA,B,4,490,6
1/24/14,8630655,0-19,REAL ESTATE,NJ,D,1,792,8
1/24/14,1511528,0-19,REAL ESTATE,NC,A,3,990,8
1/24/14,8371179,500+,REAL ESTATE,NC,A,21,790,8
1/24/14,3685151,100-499,FINANCE,VA,A,11,978,8
1/24/14,8144490,500+,IT,CA,A,14,860,8
1/24/14,1137585,0-19,HEALTH CARE,VA,D,6,784,5
1/24/14,5113287,500+,RETAIL,GA,D,14,760,7
1/24/14,5530045,0-19,REAL ESTATE,CA,A,3,960,7
1/27/14,3312410,0-19,IT,MI,D,4,768,3
1/27/14,3769142,20-99,IT,MN,B,4,495,5
1/27/14,3267173,0-19,IT,NC,B,3,495,2
1/27/14,9082452,100-499,REAL ESTATE,NJ,A,13,890,7
1/27/14,6203707,20-99,FINANCE,NY,A,4,996,8
1/27/14,1310101,500+,IT,NY,A,19,870,7
1/27/14,2208741,20-99,RETAIL,TX,A,6,950,6
1/27/14,5324284,0-19,REAL ESTATE,NY,A,1,1000,7
1/27/14,1025109,20-99,IT,GA,A,4,990,6
1/28/14,5042031,20-99,IT,CA,B,3,495,4
1/28/14,9608063,100-499,HEALTH CARE,MA,A,13,870,6
1/28/14,4464848,500+,RETAIL,IL,A,10,930,8
1/28/14,5752889,20-99,REAL ESTATE,CA,B,6,475,4
1/28/14,8571215,100-499,IT,TX,D,10,704,5
1/28/14,7468311,500+,FINANCE,IN,A,13,982,9
1/28/14,8514923,20-99,RETAIL,CA,D,6,760,7
1/28/14,9953264,100-499,HEALTH CARE,MA,A,12,930,6
1/28/14,1168959,100-499,FINANCE,FL,A,11,986,8
1/29/14,6351220,0-19,RETAIL,GA,D,4,792,5
1/29/14,9931769,100-499,FINANCE,MD,B,11,494,8
1/29/14,5732584,100-499,HEALTH CARE,TX,D,12,760,9
1/29/14,2940168,20-99,IT,NJ,B,8,465,8
1/29/14,9447446,0-19,HEALTH CARE,MA,B,2,500,9
1/29/14,4538738,20-99,RETAIL,NY,B,3,500,8
1/29/14,9798800,20-99,HEALTH CARE,TX,A,9,910,8
1/29/14,5641913,500+,HEALTH CARE,NY,A,19,930,8
1/29/14,3102066,0-19,FINANCE,NJ,A,3,994,9
1/29/14,5118689,20-99,RETAIL,GA,A,5,930,6
1/29/14,2816743,0-19,FINANCE,MN,A,4,994,9
1/29/14,5799979,0-19,HEALTH CARE,MI,A,3,970,8
1/29/14,5153415,20-99,IT,GA,A,8,910,5
1/29/14,5878633,20-99,IT,MN,A,8,970,8
1/30/14,3223623,0-19,IT,MI,D,4,776,2
1/30/14,9533221,100-499,REAL ESTATE,GA,A,5,970,7
1/30/14,6147471,100-499,RETAIL,NY,A,6,940,5
1/30/14,7472432,100-499,RETAIL,NJ,B,12,445,6
1/30/14,7189394,100-499,IT,NY,B,6,470,8
1/30/14,4782235,100-499,REAL ESTATE,MD,D,5,768,8
1/30/14,1913835,0-19,FINANCE,CO,D,2,796.8,10
1/30/14,5005467,0-19,FINANCE,NY,D,1,796.8,6
1/30/14,4193520,500+,IT,NJ,A,13,910,7
1/30/14,6135204,0-19,RETAIL,NC,A,3,980,2
1/30/14,7107788,0-19,IT,NJ,A,4,960,6
1/30/14,3867047,0-19,HEALTH CARE,NJ,A,1,1000,4
1/30/14,9351420,100-499,FINANCE,NJ,A,14,990,6
1/30/14,2600795,0-19,IT,TX,A,1,980,8
1/30/14,9356961,0-19,FINANCE,CA,A,2,996,10
1/30/14,6945092,0-19,IT,GA,A,1,1000,4
1/30/14,9632940,100-499,RETAIL,FL,A,12,900,6
1/30/14,9928553,100-499,FINANCE,NY,A,14,974,6
1/30/14,1147380,0-19,IT,NY,A,4,960,8
1/31/14,6987328,500+,FINANCE,PA,D,29,779.2,9
1/31/14,1601967,0-19,FINANCE,FL,D,4,795.2,9
1/31/14,2704175,20-99,REAL ESTATE,GA,D,3,776,8
1/31/14,5124157,0-19,REAL ESTATE,IL,D,8,776,4
1/31/14,5934492,20-99,FINANCE,GA,D,7,790.4,9
1/31/14,7705914,0-19,IT,NC,D,3,800,7
1/31/14,5733377,0-19,FINANCE,VA,B,4,499,5
1/31/14,7830108,100-499,IT,MI,B,10,475,5
1/31/14,7999264,500+,FINANCE,MA,A,23,970,9
1/31/14,6255459,100-499,HEALTH CARE,MD,A,8,910,7
1/31/14,4328361,0-19,IT,NC,A,4,990,4
1/31/14,2148431,0-19,IT,TX,D,4,768,
1/31/14,8352553,0-19,IT,TX,A,1,970,3
1/31/14,9658727,100-499,REAL ESTATE,MD,A,5,950,5
1/31/14,9744146,0-19,IT,CO,B,1,500,2
1/31/14,1407496,100-499,REAL ESTATE,GA,A,10,900,8
1/31/14,5619148,0-19,REAL ESTATE,TX,D,3,768,3
2/3/14,2624872,0-19,FINANCE,NY,A,4,994,7
2/3/14,4695492,0-19,IT,NC,A,1,980,5
2/3/14,3700288,0-19,IT,FL,D,1,792,4
2/3/14,1910854,0-19,FINANCE,IL,A,1,996,10
2/3/14,4181885,0-19,IT,NY,C,1,588,7
2/3/14,1744553,100-499,FINANCE,CA,B,12,493,
2/3/14,7443186,20-99,REAL ESTATE,NY,D,12,776,8
2/3/14,8624336,20-99,REAL ESTATE,CA,B,5,475,7
2/3/14,2861663,0-19,RETAIL,IL,A,1,990,7
2/3/14,6696256,0-19,FINANCE,IL,A,3,996,7
2/3/14,2818926,0-19,IT,CA,A,1,980,1
2/3/14,1287077,100-499,REAL ESTATE,TX,A,10,860,5
2/3/14,6842486,0-19,IT,MA,B,1,500,2
2/3/14,5881023,20-99,FINANCE,CA,A,3,992,6
2/3/14,8381578,20-99,REAL ESTATE,CO,B,7,470,7
2/3/14,7384911,0-19,FINANCE,CA,B,2,498,4
2/3/14,7242179,20-99,REAL ESTATE,CA,B,4,485,6
2/4/14,6453896,500+,IT,NC,D,21,680,9
2/4/14,3705620,0-19,RETAIL,NY,D,6,776,7
2/4/14,3889755,0-19,RETAIL,MD,A,1,980,5
2/4/14,5824262,0-19,IT,CO,D,4,776,5
2/4/14,6658434,0-19,IT,NC,D,1,784,5
2/4/14,3115102,0-19,IT,PA,A,2,960,7
2/4/14,7670656,20-99,IT,GA,B,9,485,7
2/4/14,8697057,0-19,HEALTH CARE,IL,D,3,792,4
2/4/14,6754182,0-19,IT,CA,D,1,784,4
2/4/14,6651470,0-19,FINANCE,PA,D,4,800,4
2/4/14,4152552,500+,HEALTH CARE,NJ,D,25,640,9
2/4/14,8404137,20-99,HEALTH CARE,CA,D,6,768,5
2/4/14,5287226,100-499,IT,TX,D,14,728,7
2/4/14,3825264,0-19,FINANCE,TX,A,3,1000,9
2/4/14,8743943,500+,RETAIL,CA,A,11,940,7
2/4/14,9910299,0-19,IT,NY,A,2,980,2
2/5/14,9920970,20-99,HEALTH CARE,CA,A,9,910,
2/5/14,5533614,0-19,FINANCE,IN,A,3,996,10
2/5/14,7585283,0-19,FINANCE,PA,A,3,996,3
2/5/14,8895958,0-19,IT,MA,A,1,980,3
2/5/14,6818614,500+,FINANCE,NY,B,21,488,10
2/5/14,3175707,20-99,RETAIL,VA,D,5,760,5
2/5/14,9372145,100-499,RETAIL,NJ,A,10,900,6
2/5/14,2213490,20-99,FINANCE,MD,D,3,800,9
2/5/14,3958322,100-499,FINANCE,IN,C,24,585.6,8
2/5/14,8522229,100-499,REAL ESTATE,GA,B,6,485,7
2/5/14,2799037,0-19,IT,TX,A,4,960,4
2/5/14,4834229,0-19,FINANCE,TX,A,4,994,6
2/5/14,7459026,0-19,REAL ESTATE,NJ,A,1,970,4
2/5/14,8035499,500+,HEALTH CARE,CA,D,17,696,8
2/5/14,5136453,500+,FINANCE,MA,A,17,988,10
2/5/14,4058443,0-19,IT,IN,A,2,970,8
2/6/14,4811639,100-499,IT,IN,A,11,950,6
2/6/14,6320631,0-19,FINANCE,GA,A,4,1000,10
2/6/14,3641866,0-19,IT,NY,B,2,480,7
2/6/14,9662258,100-499,IT,GA,A,13,910,5
2/6/14,2885818,0-19,IT,CO,B,3,485,4
2/6/14,3875037,20-99,HEALTH CARE,IN,A,9,960,4
2/6/14,2375999,0-19,IT,CA,D,4,776,
2/6/14,2545362,20-99,IT,GA,D,3,792,6
2/6/14,8210397,0-19,RETAIL,MA,B,3,490,5
2/6/14,4527709,20-99,IT,CA,D,5,736,4
2/6/14,1633980,0-19,IT,FL,A,2,990,7
2/6/14,9417900,500+,FINANCE,VA,B,20,479,10
2/6/14,6460282,100-499,RETAIL,TX,A,11,950,8
2/6/14,6615986,100-499,REAL ESTATE,TX,A,14,870,5
2/6/14,1495818,20-99,FINANCE,IL,A,4,992,9
2/7/14,9118541,500+,FINANCE,TX,D,26,756.8,9
2/7/14,4613385,100-499,REAL ESTATE,GA,A,14,920,5
2/7/14,3891483,20-99,HEALTH CARE,MA,B,8,475,7
2/7/14,6335174,0-19,RETAIL,MI,B,4,495,6
2/7/14,7055357,500+,FINANCE,MA,A,21,960,
2/7/14,4163692,0-19,HEALTH CARE,CA,D,1,768,3
2/7/14,4324688,20-99,IT,TX,A,5,930,7
2/7/14,2861322,0-19,FINANCE,CO,A,4,1000,7
2/7/14,9149065,0-19,FINANCE,CA,A,2,998,3
2/7/14,2779272,0-19,FINANCE,NY,D,2,793.6,6
2/7/14,2674607,0-19,IT,MI,A,3,970,1
2/7/14,1797357,0-19,IT,IN,A,4,980,8
2/7/14,7167779,20-99,RETAIL,TX,A,4,990,5
2/7/14,1564958,100-499,IT,MN,A,13,870,7
2/7/14,7168393,500+,IT,MA,A,24,740,8
2/7/14,5723510,20-99,IT,MN,A,6,940,4
2/10/14,6428227,20-99,FINANCE,NJ,A,4,996,7
2/10/14,5615681,0-19,HEALTH CARE,TX,C,2,582,5
2/10/14,1841681,0-19,REAL ESTATE,NY,B,3,495,2
2/10/14,5233834,0-19,RETAIL,CA,A,3,980,8
2/10/14,1497922,100-499,IT,TX,B,6,485,8
2/10/14,3964452,0-19,RETAIL,CA,D,3,800,3
2/10/14,2648336,0-19,REAL ESTATE,CA,A,1,980,2
2/10/14,6475495,500+,RETAIL,MI,D,15,688,8
2/10/14,4304960,20-99,IT,NJ,A,4,970,6
2/10/14,3698109,0-19,IT,CA,B,2,495,2
2/10/14,5839546,100-499,REAL ESTATE,NJ,B,7,475,6
2/10/14,8532581,20-99,IT,MN,B,9,455,6
2/11/14,1603668,0-19,IT,MA,A,2,980,2
2/11/14,9979892,100-499,RETAIL,IL,D,12,760,7
2/11/14,4094126,20-99,IT,GA,D,10,728,4
2/11/14,6728663,0-19,IT,GA,B,1,495,2
2/11/14,5980166,0-19,IT,CA,A,4,1000,3
2/11/14,6974333,20-99,IT,MA,A,9,940,
2/11/14,7836400,20-99,FINANCE,CA,A,3,992,8
2/11/14,3231122,100-499,FINANCE,TX,A,5,992,10
2/11/14,2195984,0-19,FINANCE,NY,A,4,994,5
2/12/14,9243302,20-99,HEALTH CARE,NJ,A,8,920,5
2/12/14,6958016,0-19,FINANCE,TX,D,4,796.8,6
2/12/14,5881023,20-99,FINANCE,CA,D,9,793.6,7
2/12/14,1960254,100-499,IT,MN,D,8,752,6
2/12/14,5563615,20-99,HEALTH CARE,IN,A,9,960,6
2/12/14,6530365,0-19,IT,TX,A,4,1000,7
2/12/14,4307861,500+,HEALTH CARE,TX,D,21,704,7
2/12/14,8325560,0-19,IT,CO,A,2,980,
2/12/14,8139051,0-19,FINANCE,NY,A,4,998,4
2/12/14,6794604,0-19,REAL ESTATE,GA,A,3,990,7
2/12/14,9708977,20-99,REAL ESTATE,GA,A,6,970,7
2/12/14,9805922,0-19,RETAIL,TX,B,4,490,2
2/12/14,9792013,0-19,FINANCE,MD,B,3,499,9
2/13/14,3970129,0-19,HEALTH CARE,NJ,D,4,800,5
2/13/14,4062587,100-499,FINANCE,PA,D,11,792,9
2/13/14,7270035,20-99,REAL ESTATE,NJ,D,3,768,5
2/13/14,1961663,0-19,FINANCE,NY,A,2,1000,8
2/13/14,2569562,20-99,IT,TX,D,3,800,6
2/13/14,4322556,500+,IT,PA,A,18,910,6
2/13/14,9602368,0-19,IT,MI,A,1,990,2
2/13/14,6767006,0-19,FINANCE,CA,A,3,996,10
2/13/14,4527709,20-99,IT,CA,B,8,480,5
2/13/14,3066253,100-499,RETAIL,MD,A,6,970,8
2/13/14,8410724,20-99,HEALTH CARE,MD,A,3,970,4
2/13/14,7772562,20-99,HEALTH CARE,NJ,D,12,728,7
2/13/14,6662692,0-19,REAL ESTATE,IL,D,1,784,6
2/14/14,1903197,100-499,FINANCE,TX,B,6,492,7
2/14/14,9979892,100-499,RETAIL,IL,D,9,768,8
2/14/14,2309279,0-19,REAL ESTATE,VA,A,3,990,2
2/14/14,8105769,20-99,IT,MD,D,4,784,5
2/14/14,4321839,0-19,FINANCE,IL,A,2,992,8
2/14/14,7367713,20-99,IT,CO,A,9,970,5
2/14/14,6881318,100-499,REAL ESTATE,NY,A,7,960,8
2/14/14,1669726,0-19,IT,CO,A,4,990,5
2/14/14,3052656,500+,RETAIL,CO,A,18,880,6
2/14/14,6125727,0-19,HEALTH CARE,GA,D,3,776,5
2/14/14,7811497,0-19,IT,MN,A,4,1000,3
2/14/14,8186435,20-99,IT,TX,D,7,760,8
2/14/14,3121774,0-19,REAL ESTATE,NC,A,3,990,6
2/14/14,9513317,100-499,IT,IL,B,5,485,6
2/14/14,9621606,0-19,IT,CA,A,4,960,3
2/14/14,8045185,0-19,HEALTH CARE,CA,A,3,960,
2/18/14,1601967,0-19,FINANCE,FL,D,3,795.2,
2/18/14,9226626,0-19,HEALTH CARE,GA,A,2,960,7
2/18/14,5316158,500+,HEALTH CARE,CA,A,20,710,7
2/18/14,3236339,0-19,FINANCE,GA,B,1,498,10
2/18/14,1943087,0-19,REAL ESTATE,TX,B,1,480,2
2/18/14,5549644,500+,FINANCE,CA,A,13,990,9
2/18/14,1766721,0-19,RETAIL,NJ,B,4,485,2
2/18/14,7445792,0-19,IT,CO,A,1,980,4
2/18/14,8909934,100-499,RETAIL,FL,D,10,704,
2/18/14,6547341,100-499,FINANCE,GA,D,6,788.8,9
2/18/14,4533217,0-19,IT,NJ,A,2,960,4
2/18/14,1719514,0-19,IT,CA,A,2,970,4
2/18/14,7973468,20-99,IT,NC,A,8,970,8
2/18/14,4947697,0-19,HEALTH CARE,NC,A,2,970,2
2/18/14,2642440,0-19,IT,FL,D,2,776,4
2/18/14,9266498,0-19,IT,NY,B,4,495,5
2/18/14,5762666,20-99,IT,NY,D,9,736,6
2/18/14,2036433,20-99,REAL ESTATE,CA,D,6,728,9
2/19/14,2604277,20-99,IT,NY,A,7,910,7
2/19/14,2816913,20-99,HEALTH CARE,MA,C,6,546,6
2/19/14,3006554,0-19,RETAIL,MI,A,3,990,7
2/19/14,1142163,0-19,IT,CA,D,4,784,3
2/19/14,8019508,20-99,RETAIL,CA,A,9,920,5
2/19/14,2224305,0-19,IT,CA,A,1,990,7
2/19/14,7267744,0-19,IT,NJ,B,4,480,8
2/19/14,5350376,500+,FINANCE,NY,A,21,958,8
2/19/14,5641913,500+,HEALTH CARE,NY,B,11,465,7
2/19/14,5561486,500+,IT,NY,A,19,930,8
2/19/14,9768619,0-19,IT,IL,D,3,776,6
2/19/14,5863751,100-499,FINANCE,NY,A,10,988,6
2/19/14,2186418,20-99,FINANCE,CO,A,9,990,6
2/20/14,6088525,0-19,IT,IL,A,4,980,4
2/20/14,8743943,500+,RETAIL,CA,B,11,430,8
